Screen #,Module,Screen Name,Type,Priority,Development Status,Development Done By,Dev Testing Status,Dev Tested By,QA Testing Status,QA Tested By
1,Fundraising,Donation (Global),FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
2,Fundraising,Donation Purpose,MASTER_GRID,P5-Alignment,Completed,Karthick,Pending,,Not Started,
3,Fundraising,Donation Category,MASTER_GRID,P5-Alignment,Completed,Karthick,Pending,,Not Started,
4,Fundraising,Donation Group,MASTER_GRID,P5-Alignment,Completed,Karthick,Pending,,Not Started,
5,Fundraising,Bulk Donation,FLOW,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
6,Fundraising,Cheque Donation,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
7,Fundraising,In-Kind Donation,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
8,Fundraising,Recurring Donation,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
9,Fundraising,Receipt (GlobalReceipt),FLOW,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
10,Fundraising,Online Donation Setup,FLOW,P5-Alignment,In Progress (Partial),,Not Started,,Not Started,
11,Fundraising,Matching Gift,FLOW,P2-Core,Completed,Karthick,Pending,,Not Started,
12,Fundraising,Pledge,FLOW,P2-Core,Completed,Karthick,Pending,,Not Started,
13,Fundraising,Refund,FLOW,P3-Business,Completed,Karthick,Pending,,Not Started,
14,Fundraising,Payment Reconciliation,FLOW,P3-Business,Completed,Karthick,Pending,,Not Started,
15,Fundraising,P2P Campaign,FLOW,P3-Business,In Progress (Partial),,Not Started,,Not Started,
16,Fundraising,Crowdfunding,FLOW,P3-Business,In Progress (Partial),,Not Started,,Not Started,
17,Fundraising,Fundraising Dashboard,Dashboard,P4-Advanced,Upcoming (Dashboard),,N/A (Upcoming),,N/A (Upcoming),
18,Contacts,Contact,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
19,Contacts,Contact Type,MASTER_GRID,P5-Alignment,Completed - Needs Fix,Karthick,Blocked - Awaiting Fix,,Not Started,
20,Contacts,Family,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
21,Contacts,Duplicate Detection,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
22,Contacts,Tags & Segmentation,MASTER_GRID,P2-Core,Completed,Karthick,Pending,,Not Started,
23,Contacts,Contact Import,FLOW,P3-Business,In Progress (Partial),,Not Started,,Not Started,
24,Communication,Email Template,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
25,Communication,Email Campaign/SendJob,FLOW,P5-Alignment,Ready to Build,,Not Started,,Not Started,
26,Communication,Placeholder Definition,MASTER_GRID,P5-Alignment,Completed,Karthick,Pending,,Not Started,
27,Communication,Saved Filter,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
28,Communication,Company Email Provider,FLOW,P5-Alignment,Completed,Karthick,Pending,,Not Started,
29,Communication,SMS Template,FLOW,P2-Core,Completed,Karthick,Pending,,Not Started,
30,Communication,SMS Campaign,FLOW,P3-Business,Completed,Karthick,Pending,,Not Started,
31,Communication,WhatsApp Template,FLOW,P2-Core,Completed,Karthick,Pending,,Not Started,
32,Communication,WhatsApp Campaign,FLOW,P3-Business,Ready to Build,,Not Started,,Not Started,
